Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Team Success (xG) On-Off,Matches
3195,Adrien Thomasson,FRA,MF,Strasbourg,Ligue 1,28,1993,15,937,62,27.4,10.4,10,81,6,5,25,0,0.73,7,18,-11,-1.06,-1.17,12.1,18.3,-6.2,-0.6,-0.57,Matches
3196,Adrien Thomasson,FRA,"MF,FW",Lens,Ligue 1,28,1993,20,1278,64,37.4,14.2,16,74,3,4,25,0,2.15,31,14,17,1.2,0.27,23.9,17.4,6.5,0.46,-0.26,Matches
3197,Morten Thorsby,NOR,MF,Union Berlin,Bundesliga,26,1996,24,833,35,27.2,9.3,8,66,1,16,19,3,1.58,15,16,-1,-0.11,-0.67,10.2,17.8,-7.6,-0.82,-0.94,Matches
3198,Kristian Thorstvedt,NOR,MF,Sassuolo,Serie A,23,1999,31,1136,37,33.2,12.6,13,63,1,18,18,6,1.1,15,27,-12,-0.95,-0.87,16.5,20.0,-3.5,-0.28,-0.49,Matches
3199,Khéphren Thuram,FRA,MF,Nice,Ligue 1,21,2001,35,2547,73,74.5,28.3,30,80,15,5,31,0,1.46,33,24,9,0.32,0.11,40.3,31.1,9.2,0.33,-0.02,Matches
3200,Marcus Thuram,FRA,FW,M'Gladbach,Bundesliga,24,1997,30,2513,84,82.1,27.9,28,88,21,2,21,1,1.33,42,41,1,0.04,0.69,42.0,40.8,1.1,0.04,0.45,Matches
3201,Alexis Tibidi,FRA,"FW,MF",Troyes,Ligue 1,18,2003,3,74,25,2.2,0.8,0,0,0,3,25,4,0.0,0,2,-2,-2.43,-1.52,0.5,1.3,-0.9,-1.07,-0.04,Matches
3202,Youri Tielemans,BEL,MF,Leicester City,Premier League,25,1997,31,2344,76,68.5,26.0,27,82,16,4,30,0,0.97,35,49,-14,-0.54,-0.29,33.0,45.0,-12.0,-0.46,-0.39,Matches
3203,Kieran Tierney,SCO,DF,Arsenal,Premier League,25,1997,27,795,29,23.2,8.8,6,81,3,21,15,11,2.56,16,10,6,0.68,-0.66,15.2,10.8,4.4,0.5,-0.37,Matches
3204,Steffen Tigges,GER,FW,Köln,Bundesliga,24,1998,30,1596,53,52.2,17.7,17,71,3,13,30,1,1.23,25,24,1,0.06,0.43,25.0,19.5,5.6,0.31,0.33,Matches
3205,Jean-Clair Todibo,FRA,DF,Nice,Ligue 1,22,1999,34,2870,84,83.9,31.9,33,86,30,1,31,0,1.53,43,29,14,0.44,0.93,47.5,37.1,10.4,0.33,-0.03,Matches
3206,Harry Toffolo,ENG,DF,Nott'ham Forest,Premier League,26,1995,19,940,49,27.5,10.4,9,86,7,10,16,10,1.0,7,17,-10,-0.96,-0.23,9.5,18.7,-9.2,-0.88,-0.31,Matches
3207,Umut Tohumcu,GER,"MF,DF",Hoffenheim,Bundesliga,17,2004,8,271,34,8.9,3.0,2,77,1,6,20,7,0.88,3,6,-3,-1.0,-0.8,4.2,6.2,-2.0,-0.68,-0.64,Matches
3208,Karl Toko Ekambi,CMR,"FW,MF",Rennes,Ligue 1,29,1992,17,972,57,28.4,10.8,11,77,2,6,21,0,1.82,23,6,17,1.57,1.1,17.8,11.9,5.8,0.54,0.12,Matches
3209,Karl Toko Ekambi,CMR,"FW,MF",Lyon,Ligue 1,29,1992,19,1353,71,39.6,15.0,15,83,8,4,26,0,1.32,23,19,4,0.27,-0.34,24.8,19.3,5.4,0.36,0.19,Matches
3210,Mohammed Tolba,GER,DF,Bochum,Bundesliga,18,2004,0,0,0,0.0,0.0,0,0,0,0,0,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
3211,Corentin Tolisso,FRA,MF,Lyon,Ligue 1,27,1994,30,2036,68,59.5,22.6,25,76,11,5,27,0,1.63,45,31,14,0.62,0.36,37.9,32.0,5.9,0.26,0.03,Matches
3212,Jeremy Toljan,GER,DF,Sassuolo,Serie A,27,1994,31,2672,86,78.1,29.7,29,89,27,2,51,2,1.0,32,48,-16,-0.54,-0.78,39.9,39.4,0.5,0.02,-0.15,Matches
3213,Rafael Tolói,ITA,DF,Atalanta,Serie A,31,1990,32,2784,87,81.4,30.9,32,87,25,0,0,1,1.88,54,36,18,0.58,0.58,45.0,33.2,11.8,0.38,-0.25,Matches
3214,Raúl de Tomás,ESP,FW,Rayo Vallecano,La Liga,27,1994,19,805,42,23.5,8.9,9,69,0,10,19,2,0.89,7,13,-6,-0.67,-0.6,10.4,10.5,-0.1,-0.01,0.19,Matches
3215,Tiago Tomás,POR,"FW,MF",Stuttgart,Bundesliga,20,2002,27,1291,48,42.2,14.3,16,65,2,11,23,1,0.96,21,27,-6,-0.42,-0.11,20.2,20.4,-0.1,-0.01,-0.14,Matches
3216,Takehiro Tomiyasu,JPN,DF,Arsenal,Premier League,23,1998,21,663,32,19.4,7.4,6,77,3,15,14,2,2.38,17,11,6,0.81,-0.46,14.4,9.0,5.3,0.72,-0.08,Matches
3217,James Tomkins,ENG,DF,Crystal Palace,Premier League,33,1989,6,338,56,9.9,3.8,3,79,2,3,34,16,0.67,2,8,-6,-1.6,-1.51,2.6,6.5,-3.9,-1.03,-0.89,Matches
3218,Fikayo Tomori,ENG,DF,Milan,Serie A,24,1997,33,2760,84,80.7,30.7,32,85,26,1,32,1,1.97,57,29,28,0.91,1.87,50.8,31.6,19.2,0.62,0.82,Matches
3219,Sandro Tonali,ITA,MF,Milan,Serie A,22,2000,34,2713,80,79.3,30.1,30,87,23,4,25,2,1.82,49,36,13,0.43,-0.59,47.0,33.1,13.9,0.46,-0.03,Matches
3220,Lorenzo Tonelli,ITA,DF,Empoli,Serie A,32,1990,1,19,19,0.6,0.2,0,0,0,1,19,11,1.5,1,2,-1,-4.74,-4.45,0.5,0.5,0.1,0.35,0.87,Matches
3221,Ivan Toney,ENG,FW,Brentford,Premier League,26,1996,33,2951,89,86.3,32.8,33,89,29,0,0,0,1.39,47,42,5,0.15,-1.19,47.2,42.7,4.5,0.14,-0.31,Matches
3222,Giacomo Toniolo,ITA,GK,Hellas Verona,Serie A,18,2004,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
3223,Pablo Torre,ESP,"FW,MF",Barcelona,La Liga,19,2003,8,144,18,4.2,1.6,1,62,0,7,12,23,0.88,3,2,1,0.62,-0.72,3.3,2.7,0.6,0.38,-0.77,Matches
3224,David Torres,ESP,DF,Valladolid,La Liga,19,2003,7,385,55,11.3,4.3,2,85,1,5,43,21,1.14,3,8,-5,-1.17,-0.43,6.6,9.4,-2.8,-0.66,0.03,Matches
3225,Ferrán Torres,ESP,"FW,MF",Barcelona,La Liga,22,2000,33,1392,42,40.7,15.5,14,72,5,19,20,3,2.27,25,11,14,0.91,-0.69,28.4,15.5,12.8,0.83,-0.48,Matches
3226,Óliver Torres,ESP,"MF,FW",Sevilla,La Liga,27,1994,32,2137,67,62.5,23.7,27,75,7,5,21,6,1.31,32,31,1,0.04,0.6,29.0,32.5,-3.6,-0.15,0.16,Matches
3227,Pau Torres,ESP,DF,Villarreal,La Liga,25,1997,34,3054,90,89.3,33.9,34,90,33,0,0,1,1.71,55,35,20,0.59,0.84,56.8,44.0,12.8,0.38,0.74,Matches
3228,Roberto Torres,ESP,"FW,MF",Osasuna,La Liga,33,1989,2,11,6,0.3,0.1,0,0,0,2,6,13,3.0,0,0,0,0.0,0.13,0.6,0.1,0.5,4.22,4.4,Matches
3229,Lucas Torró,ESP,MF,Osasuna,La Liga,28,1994,33,2477,75,72.4,27.5,31,79,17,2,10,1,1.3,24,25,-1,-0.04,0.35,28.8,30.2,-1.3,-0.05,0.42,Matches
3230,Nabil Touaizi,MAR,MF,Espanyol,La Liga,21,2001,1,3,3,0.1,0.0,0,0,0,1,3,2,1.0,1,0,1,30.0,30.47,0.8,0.0,0.8,23.65,23.97,Matches
3231,Almamy Touré,MLI,DF,Eint Frankfurt,Bundesliga,26,1996,7,398,57,13.0,4.4,5,77,2,2,7,8,1.57,10,12,-2,-0.45,-0.72,8.3,9.6,-1.3,-0.3,-0.63,Matches
3232,Birama Touré,MLI,MF,Auxerre,Ligue 1,30,1992,38,3400,89,99.4,37.8,38,89,34,0,0,0,0.92,34,61,-27,-0.71,3.79,42.0,58.4,-16.4,-0.43,-1.66,Matches
3233,Mohamed Toure,AUS,"FW,MF",Reims,Ligue 1,18,2004,3,23,8,0.7,0.3,0,0,0,3,8,1,1.33,0,0,0,0.0,0.0,0.5,0.5,0.0,-0.06,-0.3,Matches
3234,Souleymane Touré,FRA,DF,Marseille,Ligue 1,19,2003,5,68,14,2.0,0.8,0,0,0,5,14,8,2.6,0,2,-2,-2.65,-3.43,0.5,1.3,-0.7,-0.96,-1.59,Matches
3235,Souleymane Touré,FRA,DF,Auxerre,Ligue 1,19,2003,19,1588,84,46.4,17.6,18,88,15,1,13,0,1.0,15,22,-7,-0.4,0.63,23.3,26.5,-3.3,-0.18,0.45,Matches
3236,Lucas Tousart,FRA,MF,Hertha BSC,Bundesliga,25,1997,33,2944,89,96.2,32.7,33,89,29,0,0,0,0.88,41,65,-24,-0.73,1.59,38.9,58.0,-19.1,-0.58,0.54,Matches
3237,Yoann Touzghar,TUN,FW,Troyes,Ligue 1,35,1986,0,0,0,0.0,0.0,0,0,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
3238,Yoann Touzghar,TUN,FW,Ajaccio,Ligue 1,35,1986,11,447,41,13.1,5.0,5,68,0,6,18,0,0.91,2,7,-5,-1.01,0.39,4.0,6.1,-2.1,-0.42,0.06,Matches
3239,Adama Traoré,ESP,"FW,MF",Wolves,Premier League,26,1996,34,1496,44,43.7,16.6,12,73,3,22,28,2,1.18,12,30,-18,-1.08,-0.66,17.6,30.2,-12.6,-0.76,-0.27,Matches
3240,Bertrand Traoré,BFA,"FW,MF",Aston Villa,Premier League,26,1995,8,233,29,6.8,2.6,1,45,0,7,27,8,1.75,6,1,5,1.93,1.93,5.8,1.8,4.0,1.55,1.72,Matches
3241,Bonota Traoré,FRA,FW,Toulouse,Ligue 1,19,2003,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
3242,Boubacar Traoré,MLI,MF,Wolves,Premier League,20,2001,10,411,41,12.0,4.6,4,82,2,6,14,1,0.5,4,9,-5,-1.09,-0.44,3.2,7.6,-4.4,-0.97,-0.41,Matches
3243,Charles Traore,MLI,DF,Nantes,Ligue 1,30,1992,12,482,40,14.1,5.4,6,70,2,6,11,3,1.58,4,6,-2,-0.37,0.12,5.0,7.6,-2.6,-0.48,-0.26,Matches
3244,Hamari Traoré,MLI,DF,Rennes,Ligue 1,30,1992,31,2528,82,73.9,28.1,28,89,22,3,16,0,1.81,55,29,26,0.93,0.52,47.2,31.0,16.2,0.58,0.47,Matches
3245,Kevin Trapp,GER,GK,Eint Frankfurt,Bundesliga,32,1990,33,2970,90,97.1,33.0,33,90,33,0,0,0,1.48,57,51,6,0.18,0.18,51.9,41.5,10.4,0.31,2.08,Matches
3246,Mark Travers,IRL,GK,Bournemouth,Premier League,23,1999,12,1035,86,30.3,11.5,11,90,11,1,45,26,0.5,10,32,-22,-1.91,-1.46,7.9,19.8,-11.9,-1.03,-0.53,Matches
3247,Óscar Trejo,ARG,"MF,FW",Rayo Vallecano,La Liga,34,1988,34,2145,63,62.7,23.8,28,71,2,6,28,0,1.24,34,32,2,0.08,0.79,25.9,31.7,-5.8,-0.24,-0.23,Matches
3248,Ryan Trevitt,ENG,MF,Brentford,Premier League,19,2003,0,0,0,0.0,0.0,0,0,0,0,0,6,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
3249,Manu Trigueros,ESP,MF,Villarreal,La Liga,30,1991,23,828,36,24.2,9.2,8,64,2,15,21,7,1.87,17,8,9,0.98,0.63,13.9,14.6,-0.7,-0.08,-0.5,Matches
3250,Simone Trimboli,ITA,MF,Sampdoria,Serie A,20,2002,0,0,0,0.0,0.0,0,0,0,0,0,10,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
3251,Christopher Trimmel,AUT,DF,Union Berlin,Bundesliga,35,1987,25,1811,72,59.2,20.1,20,87,17,5,13,8,1.76,29,24,5,0.25,-0.33,23.2,23.6,-0.4,-0.02,0.29,Matches
3252,Théo Trinker,FRA,MF,Nice,Ligue 1,21,2001,1,1,1,0.0,0.0,0,0,0,1,1,1,3.0,0,0,0,0.0,-0.29,0.0,0.0,0.0,0.0,-0.33,Matches
3253,Filippo Tripi,ITA,MF,Roma,Serie A,20,2002,0,0,0,0.0,0.0,0,0,0,0,0,15,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
3254,Kieran Trippier,ENG,DF,Newcastle Utd,Premier League,31,1990,38,3341,88,97.7,37.1,38,88,31,0,0,0,1.87,65,31,34,0.92,-0.22,70.5,37.6,32.8,0.88,1.37,Matches
3255,William Troost-Ekong,NGA,DF,Salernitana,Serie A,28,1993,9,444,49,13.0,4.9,4,88,3,5,18,6,1.33,6,8,-2,-0.41,-0.04,4.2,8.7,-4.5,-0.91,-0.13,Matches
3256,Leandro Trossard,BEL,FW,Arsenal,Premier League,27,1994,20,931,47,27.2,10.3,10,66,1,10,27,0,1.85,29,15,14,1.35,0.23,20.1,11.3,8.8,0.85,0.09,Matches
3257,Leandro Trossard,BEL,"FW,MF",Brighton,Premier League,27,1994,16,1315,82,38.5,14.6,16,82,5,0,0,1,1.5,23,23,0,0.0,-0.81,20.5,19.4,1.1,0.08,-0.87,Matches
3258,Adrien Truffert,FRA,DF,Rennes,Ligue 1,20,2001,28,1954,70,57.1,21.7,24,79,13,4,13,0,1.79,35,25,10,0.46,-0.77,33.6,28.2,5.3,0.25,-0.49,Matches
3259,Frank Tsadjout,ITA,FW,Cremonese,Serie A,23,1999,20,1051,53,30.7,11.7,14,66,2,6,22,13,0.85,10,27,-17,-1.46,-0.85,9.1,21.6,-12.5,-1.07,-0.51,Matches
3260,Kostas Tsimikas,GRE,DF,Liverpool,Premier League,26,1996,20,771,39,22.5,8.6,9,67,2,11,15,17,1.65,14,11,3,0.35,-0.5,14.9,13.7,1.2,0.14,-0.56,Matches
3261,Theocharis Tsingaras,GRE,MF,Toulouse,Ligue 1,21,2000,1,7,7,0.2,0.1,0,0,0,1,7,12,3.0,1,0,1,12.86,13.04,0.7,0.0,0.7,8.96,9.09,Matches
3262,Viktor Tsyhankov,UKR,MF,Girona,La Liga,24,1997,19,1489,78,43.5,16.5,17,85,10,2,21,2,1.47,29,19,10,0.6,0.93,22.1,25.1,-3.0,-0.18,-0.11,Matches
3263,Alessandro Tuia,ITA,DF,Lecce,Serie A,32,1990,7,509,73,14.9,5.7,6,82,4,1,18,29,0.57,2,6,-4,-0.71,-0.43,3.1,7.0,-3.9,-0.69,-0.62,Matches
3264,Martin Turk,SVN,GK,Sampdoria,Serie A,18,2003,4,360,90,10.5,4.0,4,90,4,0,0,16,1.0,7,9,-2,-0.5,0.82,4.8,9.0,-4.2,-1.06,-0.24,Matches
3265,Matt Turner,USA,GK,Arsenal,Premier League,28,1994,0,0,0,0.0,0.0,0,0,0,0,0,37,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
3266,Ed Turns,WAL,DF,Brighton,Premier League,19,2002,0,0,0,0.0,0.0,0,0,0,0,0,6,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
3267,Beñat Turrientes,ESP,"MF,FW",Real Sociedad,La Liga,20,2002,6,106,18,3.1,1.2,1,45,0,5,12,26,1.5,1,2,-1,-0.85,-1.31,0.9,2.3,-1.4,-1.17,-1.73,Matches
3268,Tuta,BRA,DF,Eint Frankfurt,Bundesliga,23,1999,31,2718,88,88.8,30.2,30,90,29,1,27,0,1.48,53,45,8,0.26,0.79,44.9,36.0,8.8,0.29,0.35,Matches
3269,Gabriel Tutu,FRA,FW,Rennes,Ligue 1,18,2004,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
3270,Destiny Udogie,ITA,DF,Udinese,Serie A,19,2002,33,2704,82,79.1,30.0,31,86,20,2,22,0,1.33,35,33,2,0.07,0.44,39.0,39.7,-0.7,-0.02,0.51,Matches
3271,Ike Ugbo,CAN,"FW,MF",Troyes,Ligue 1,23,1998,25,895,36,26.2,9.9,9,67,2,16,18,9,0.8,16,14,2,0.2,1.56,11.5,19.6,-8.2,-0.82,0.28,Matches
3272,Lesley Ugochukwu,FRA,MF,Rennes,Ligue 1,18,2004,26,1330,51,38.9,14.8,14,78,5,12,20,11,1.92,23,17,6,0.41,-0.63,22.4,19.5,2.9,0.2,-0.42,Matches
3273,Samir Ujkani,KVX,GK,Empoli,Serie A,34,1988,1,7,7,0.2,0.1,0,0,0,1,7,34,0.0,0,1,-1,-12.86,-12.57,0.0,0.1,-0.1,-0.68,-0.17,Matches
3274,Sven Ulreich,GER,GK,Bayern Munich,Bundesliga,33,1988,3,270,90,8.8,3.0,3,90,3,0,0,30,3.0,15,2,13,4.33,3.01,7.6,3.3,4.4,1.45,0.38,Matches
3275,Lauren Ulrich,GER,MF,Stuttgart,Bundesliga,17,2005,1,6,6,0.2,0.1,0,0,0,1,6,0,0.0,0,0,0,0.0,0.35,0.1,0.0,0.0,0.55,0.48,Matches
3276,Samuel Umtiti,FRA,DF,Lecce,Serie A,28,1993,25,2113,85,61.8,23.5,24,88,20,1,8,9,1.04,22,28,-6,-0.26,0.23,25.2,23.9,1.4,0.06,0.57,Matches
3277,Enes Ünal,TUR,FW,Getafe,La Liga,25,1997,35,2970,85,86.8,33.0,35,85,19,0,0,0,1.09,29,42,-13,-0.39,-0.79,31.1,40.8,-9.6,-0.29,-0.35,Matches
3278,Deniz Undav,GER,"FW,MF",Brighton,Premier League,26,1996,22,628,29,18.4,7.0,6,71,0,16,13,14,1.41,14,9,5,0.72,0.27,15.0,9.2,5.9,0.84,0.28,Matches
3279,Cengiz Ünder,TUR,"MF,DF",Marseille,Ligue 1,25,1997,37,2490,67,72.8,27.7,28,82,14,9,22,1,1.89,51,27,24,0.87,0.58,46.8,27.0,19.9,0.72,0.43,Matches
3280,Dayot Upamecano,FRA,DF,Bayern Munich,Bundesliga,23,1998,29,2348,81,76.7,26.1,27,87,25,2,6,0,1.93,71,29,42,1.61,0.09,56.2,27.4,28.8,1.1,-0.04,Matches
3281,Benjamin Uphoff,GER,GK,Freiburg,Bundesliga,28,1993,0,0,0,0.0,0.0,0,0,0,0,0,26,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
3282,Kacper Urbanski,POL,MF,Bologna,Serie A,17,2004,0,0,0,0.0,0.0,0,0,0,0,0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
3283,Jonas Urbig,GER,GK,Köln,Bundesliga,18,2003,0,0,0,0.0,0.0,0,0,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
3284,Filip Uremović,CRO,DF,Hertha BSC,Bundesliga,25,1997,22,1726,78,56.4,19.2,21,80,14,1,45,5,0.82,22,38,-16,-0.83,-0.09,22.0,28.8,-6.7,-0.35,0.58,Matches
3285,Oscar Ureña,ESP,MF,Girona,La Liga,19,2003,3,100,33,2.9,1.1,1,58,0,2,21,4,0.0,0,2,-2,-1.8,-1.94,1.3,1.7,-0.4,-0.4,-0.29,Matches
3286,Jere Uronen,FIN,DF,Brest,Ligue 1,28,1994,6,300,50,8.8,3.3,3,86,2,3,14,6,0.17,2,7,-5,-1.5,-1.36,2.2,6.2,-4.1,-1.22,-0.97,Matches
3287,Jere Uronen,FIN,DF,Schalke 04,Bundesliga,28,1994,11,676,61,22.1,7.5,9,72,3,2,16,0,1.18,3,17,-14,-1.86,-1.03,9.2,13.4,-4.2,-0.56,-0.06,Matches
3288,Mark Uth,GER,"MF,FW",Köln,Bundesliga,30,1991,3,46,15,1.5,0.5,0,0,0,3,15,1,1.0,2,7,-5,-9.78,-9.78,0.6,1.2,-0.6,-1.25,-1.43,Matches
3289,Josha Vagnoman,GER,DF,Stuttgart,Bundesliga,21,2000,23,1479,64,48.3,16.4,16,84,11,7,19,4,1.09,21,23,-2,-0.12,0.45,24.5,19.8,4.6,0.28,0.41,Matches
3290,Harvey Vale,ENG,MF,Chelsea,Premier League,18,2003,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
3291,Diego Valencia,CHI,"MF,FW",Salernitana,Serie A,22,2000,12,231,19,6.8,2.6,0,0,0,12,19,17,0.5,1,4,-3,-1.17,-0.86,2.1,6.0,-3.9,-1.5,-0.75,Matches
3292,Pablo Valencia,ESP,GK,Osasuna,La Liga,21,2001,0,0,0,0.0,0.0,0,0,0,0,0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
3293,Óscar Valentín,ESP,MF,Rayo Vallecano,La Liga,27,1994,34,2555,75,74.7,28.4,29,82,13,5,34,0,1.32,34,33,1,0.04,0.97,30.8,33.5,-2.7,-0.09,0.25,Matches
3294,Emanuele Valeri,ITA,DF,Cremonese,Serie A,23,1998,37,2785,75,81.4,30.9,31,84,21,6,33,0,0.73,32,53,-21,-0.68,1.02,33.0,52.2,-19.2,-0.62,0.54,Matches
3295,Yan Valery,TUN,DF,Southampton,Premier League,23,1999,1,45,45,1.3,0.5,1,45,0,0,0,4,0.0,1,2,-1,-2.0,-1.04,0.2,1.0,-0.8,-1.52,-0.92,Matches
3296,Yan Valery,TUN,DF,Angers,Ligue 1,23,1999,30,2497,83,73.0,27.7,30,83,22,0,0,0,0.53,22,57,-35,-1.26,0.01,29.2,45.1,-15.9,-0.57,-0.1,Matches
3297,Martin Valjent,SVK,DF,Mallorca,La Liga,26,1995,30,2656,89,77.7,29.5,30,89,27,0,0,2,1.4,29,33,-4,-0.14,0.1,27.5,36.4,-8.9,-0.3,-0.03,Matches
3298,Jesús Vallejo,ESP,DF,Real Madrid,La Liga,25,1997,1,22,22,0.6,0.2,0,0,0,1,22,35,3.0,2,0,2,8.18,7.2,1.2,0.1,1.1,4.47,3.53,Matches
3299,Manu Vallejo,ESP,"FW,MF",Girona,La Liga,25,1997,7,206,29,6.0,2.3,2,54,0,5,20,8,0.86,8,5,3,1.31,1.31,5.7,2.5,3.1,1.37,1.59,Matches
3300,Manu Vallejo,ESP,"FW,MF",Valencia,La Liga,25,1997,0,0,0,0.0,0.0,0,0,0,0,0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
3301,Mattia Valoti,ITA,"MF,FW",Monza,Serie A,28,1993,16,453,28,13.2,5.0,4,70,0,12,15,21,1.19,5,7,-2,-0.4,-0.34,5.4,7.9,-2.6,-0.51,-0.43,Matches
3302,Federico Valverde,URU,"MF,FW",Real Madrid,La Liga,24,1998,34,2502,74,73.2,27.8,29,82,17,5,26,4,2.09,51,25,26,0.94,-0.34,52.7,26.7,26.0,0.93,-0.1,Matches
3303,Virgil van Dijk,NED,DF,Liverpool,Premier League,31,1991,32,2835,89,82.9,31.5,32,89,31,0,0,1,1.91,68,36,32,1.02,1.63,60.9,40.5,20.4,0.65,0.45,Matches
3304,Vanderson,BRA,"DF,MF",Monaco,Ligue 1,21,2001,31,2214,71,64.7,24.6,24,83,14,7,33,1,1.74,52,35,17,0.69,1.06,39.1,34.6,4.4,0.18,-0.15,Matches
3305,Tommaso Vannucchi,ITA,GK,Fiorentina,Serie A,15,2007,0,0,0,0.0,0.0,0,0,0,0,0,11,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
3306,Raphaël Varane,FRA,DF,Manchester Utd,Premier League,29,1993,24,1911,80,55.9,21.2,22,85,16,2,23,6,1.96,28,22,6,0.28,-0.25,33.3,26.8,6.5,0.31,-0.34,Matches
3307,Jamie Vardy,ENG,FW,Leicester City,Premier League,35,1987,37,1857,50,54.3,20.6,19,74,6,18,26,1,0.92,24,38,-14,-0.68,-0.51,23.9,34.2,-10.3,-0.5,-0.36,Matches
3308,Ruben Vargas,SUI,"MF,FW",Augsburg,Bundesliga,23,1998,23,1130,49,36.9,12.6,13,59,1,10,37,3,0.7,20,20,0,0.0,0.98,13.4,20.2,-6.8,-0.54,0.26,Matches
3309,Devis Vásquez,COL,GK,Milan,Serie A,24,1998,0,0,0,0.0,0.0,0,0,0,0,0,6,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
3310,Johan Vásquez,MEX,DF,Cremonese,Serie A,23,1998,25,1813,73,53.0,20.1,19,89,18,6,21,9,0.76,19,36,-17,-0.84,0.05,19.9,35.0,-15.1,-0.75,-0.06,Matches
3311,Jesus Vazquez,ESP,"DF,MF",Valencia,La Liga,19,2003,10,310,31,9.1,3.4,3,74,1,7,12,27,0.8,1,5,-4,-1.16,-1.19,3.6,5.6,-2.0,-0.57,-0.79,Matches
3312,Kevin Vázquez,ESP,"DF,MF",Celta Vigo,La Liga,29,1993,10,441,44,12.9,4.9,6,66,2,4,11,28,1.4,4,8,-4,-0.82,-0.64,5.4,7.0,-1.6,-0.32,-0.28,Matches
3313,Lucas Vázquez,ESP,DF,Real Madrid,La Liga,31,1991,23,1144,50,33.5,12.7,12,82,6,11,14,9,1.96,28,12,16,1.26,0.35,28.7,12.3,16.4,1.28,0.48,Matches
3314,Matías Vecino,URU,MF,Lazio,Serie A,30,1991,32,1691,53,49.4,18.8,17,76,9,15,26,2,1.97,26,16,10,0.53,-0.51,23.3,21.7,1.6,0.09,-0.34,Matches
3315,Gabriel Veiga,ESP,MF,Celta Vigo,La Liga,20,2002,36,2294,64,67.1,25.5,28,74,3,8,26,0,1.17,29,30,-1,-0.04,0.68,28.7,28.5,0.2,0.01,0.24,Matches
3316,Renato Veiga,POR,DF,Augsburg,Bundesliga,19,2003,13,639,49,20.9,7.1,7,71,3,6,24,2,1.0,5,16,-11,-1.55,-1.18,4.6,15.4,-10.9,-1.53,-1.04,Matches
3317,Miloš Veljković,SRB,DF,Werder Bremen,Bundesliga,26,1995,29,2266,78,74.1,25.2,25,88,23,4,18,0,1.21,42,50,-8,-0.32,0.25,31.4,39.1,-7.7,-0.3,0.17,Matches
3318,Miguel Veloso,POR,MF,Hellas Verona,Serie A,36,1986,22,1163,53,34.0,12.9,14,66,3,8,29,5,0.5,11,16,-5,-0.39,0.53,13.3,16.0,-2.6,-0.2,0.25,Matches
3319,Joël Veltman,NED,DF,Brighton,Premier League,30,1992,31,2188,71,64.0,24.3,25,79,14,6,35,2,1.71,47,29,18,0.74,0.67,47.5,26.2,21.3,0.88,0.75,Matches
3320,Micky van de Ven,NED,DF,Wolfsburg,Bundesliga,21,2001,33,2970,90,97.1,33.0,33,90,33,0,0,0,1.39,54,48,6,0.18,-2.82,49.4,49.6,-0.2,0.0,-0.18,Matches
3321,Unai Vencedor Paris,ESP,MF,Athletic Club,La Liga,21,2000,10,193,19,5.6,2.1,0,0,0,10,19,27,1.4,2,7,-5,-2.33,-2.58,2.3,3.8,-1.5,-0.68,-1.21,Matches
3322,Lorenzo Venuti,ITA,DF,Fiorentina,Serie A,27,1995,17,924,54,27.0,10.3,9,71,3,8,36,20,1.35,12,13,-1,-0.1,-0.49,13.1,12.7,0.4,0.04,-0.36,Matches
