Rk,Player,Position
1801,Antonio Mirante,Goalkeeper
1802,Fabio Miretti,Central Midfield
1803,Filippo Missori,Right-Back
1804,Tyrick Mitchell,Left-Back
1805,Kaoru Mitoma,Left Winger
1806,Aleksandar Mitrovi?,Centre-Forward
1807,Stefan Mitrovi?,Centre-Back
1808,Maximilian Mittelstädt,Left-Back
1809,Henrikh Mkhitaryan,Attacking Midfield
1810,Anthony Modeste,Centre-Forward
1811,Luka Modri?,Central Midfield
1812,Terem Moffi,Centre-Forward
1814,Mostafa Mohamed,Centre-Forward
1815,Tobias Mohr,Left Winger
1816,Johan Mojica,Left-Back
1818,Clinton Mola,Defensive Midfield
1819,Nahuel Molina,Right-Back
1820,Salvatore Molina,Right WingBack
1821,Florent Mollet,Attacking Midfield
1823,Jon Moncayola,Central Midfield
1824,Monchu,Central Midfield
1825,César Montes,Centre-Back
1826,Daniele Montevago,Centre-Forward
1827,Gonzalo Montiel,Right-Back
1828,Lorenzo Montipò,Goalkeeper
1829,Martín Montoya,Right-Back
1830,Kieffer Moore,Centre-Forward
1831,Andrew Moran,Attacking Midfield
1832,Álvaro Morata,Centre-Forward
1833,Jon Morcillo,Left Winger
1834,Alberto Moreno,Left-Back
1835,Álex Moreno,Left-Back
1837,Diego Moreno,Defensive Midfield
1838,Gerard Moreno,Centre-Forward
1839,Marlos Moreno,Right Winger
1840,Tete Morente,Left Winger
1841,Ilaix Moriba,Central Midfield
1842,Manu Morlanes,Central Midfield
1844,Nikola Moro,Defensive Midfield
1845,Loren Morón,Centre-Forward
1846,Cristhian Mosquera,Centre-Back
1847,Dany Mota,Centre-Forward
1848,Lebo Mothiba,Centre-Forward
1849,Youssoufa Moukoko,Centre-Forward
1850,Steve Mounié,Centre-Forward
1851,Mason Mount,Attacking Midfield
1852,Lucas Moura,Right Winger
1853,Bevic Moussiti-Oko,Centre-Forward
1854,João Moutinho,Central Midfield
1856,Samuel Moutoussamy,Central Midfield
1857,Divin Mubama,Centre-Forward
1858,Mykhailo Mudryk,Left Winger
1859,François Mughe,"['Series([], Name: TmPos, dtype: object)']"
1860,Nordi Mukiele,Right-Back
1861,Mert Müldür,Right-Back
1862,Florian Müller,Goalkeeper
1863,Thomas Müller,Second Striker
1864,Abdul Mumin,Centre-Back
1865,Marshall Munetsi,Defensive Midfield
1866,Iker Muniain,Left Winger
1867,Aihen Muñoz,Left-Back
1868,Álvaro Muñoz,Centre-Forward
1869,Iker Muñoz,Central Midfield
1870,Pablo Muñoz,Second Striker
1871,Luis Muriel,Centre-Forward
1872,Jeison Murillo,Centre-Back
1873,Vedat Muriqi,Centre-Forward
1874,Jacob Murphy,Right Winger
1875,Nicola Murru,Left-Back
1876,Yunus Musah,Central Midfield
1877,Jamal Musiala,Attacking Midfield
1878,Juan Musso,Goalkeeper
1879,Marlon Mustapha,Centre-Forward
1880,Yvon Mvogo,Goalkeeper
1881,Enock Mwepu,Central Midfield
1882,Francisco Mwepu,"['Series([], Name: TmPos, dtype: object)']"
1883,Vitaliy Mykolenko,Left-Back
1884,Joakim Mæhle,Right-Back
1885,Obite N'Dicka,Centre-Back
1886,Nathan N'Goumou,Right Winger
1888,Stanley N'Soki,Centre-Back
1889,Herculano Nabian,Centre-Forward
1890,Nacho,Centre-Back
1891,Nikolas Nartey,Central Midfield
1892,Juanjo Narváez,Centre-Forward
1893,Matija Nastasi?,Centre-Back
1894,Roberto Navarro,Attacking Midfield
1895,Jesús Navas,Right-Back
1896,Keylor Navas,Goalkeeper
1897,Michel Ndary Adopo,Central Midfield
1898,Youssouf Ndayishimiye,Centre-Back
1899,Papa Ndiaga Yade,Second Striker
1900,Wilfred Ndidi,Defensive Midfield
1901,Tanguy Ndombele,Central Midfield
1902,Álvaro Negredo,Centre-Forward
1903,Reiss Nelson,Right Winger
1904,Ilija Nestorovski,Centre-Forward
1905,Neto,Goalkeeper
1906,Pedro Neto,Left Winger
1907,Luca Netz,Left-Back
1908,Manuel Neuer,Goalkeeper
1909,Florian Neuhaus,Central Midfield
1910,Rúben Neves,Defensive Midfield
1911,Neymar,Left Winger
1912,Jessic Ngankam,Centre-Forward
1913,Cyril Ngonge,Right Winger
1914,Moussa Niakhate,Centre-Back
1915,Ibrahima Niane,Centre-Forward
1916,M'Baye Niang,Centre-Forward
1917,Tanguy Nianzou,Centre-Back
1918,Rasmus Nicolaisen,Centre-Back
1919,Hans Nicolussi Caviglia,Central Midfield
1920,Florian Niederlechner,Centre-Forward
1922,Saúl Ñíguez,Central Midfield
1923,Dimitris Nikolaou,Centre-Back
1924,Fernando Niño,Centre-Forward
1925,Rasmus Nissen,Right-Back
1926,Justin Njinmah,Right Winger
1927,Eddie Nketiah,Centre-Forward
1928,Christopher Nkunku,Second Striker
1929,Felix Nmecha,Attacking Midfield
1930,Lukas Nmecha,Centre-Forward
1931,Arnaud Nordin,Left Winger
1932,Riad Nouri,Right Winger
1933,Hugo Novoa,Right Winger
1934,Samuel Ntanda,"['Series([], Name: TmPos, dtype: object)']"
1935,Randy Ntekja,Attacking Midfield
1937,Alexander Nübel,Goalkeeper
1938,Matheus Nunes,Central Midfield
1939,Darwin Núñez,Centre-Forward
1940,Unai Núñez,Centre-Back
1941,Bram Nuytinck,Centre-Back
1943,Ethan Nwaneri,Attacking Midfield
1944,Gerzino Nyamsi,Centre-Back
1945,Ørjan Nyland,Goalkeeper
1946,M'Bala Nzola,Centre-Forward
1947,Christian Nørgaard,Defensive Midfield
1948,Lewis O'Brien,Central Midfield
1949,Pedro Obiang,Central Midfield
1950,Jan Oblak,Goalkeeper
1951,Brian Ocampo,Left Winger
1952,Lucas Ocampos,Left Winger
1953,Guillermo Ochoa,Goalkeeper
1954,Wilson Odobert,Left Winger
1955,Álvaro Odriozola,Right-Back
1956,Tim Oermann,Centre-Back
1957,Odeluga Offiah,Centre-Back
1958,Angelo Ogbonna,Centre-Back
1959,Florent Ogier,Centre-Back
1960,Marios Oikonomou,Centre-Back
1961,David Okereke,Centre-Forward
1962,Caleb Okoli,Centre-Back
1963,Olasagasti,Central Midfield
1964,Lucas Olaza,Left-Back
1965,Finn Ole Becker,Central Midfield
1966,Mathias Olesen,Central Midfield
1967,Michael Olise,Right Winger
1968,Brian Oliván,Left-Back
1969,Lucas Oliveira Rosa,Right-Back
1970,Mathías Olivera,Left-Back
1971,Dani Olmo,Attacking Midfield
1972,Jan Olschowsky,Goalkeeper
1973,Robin Olsen,Goalkeeper
1974,Warmed Omari,Centre-Back
1975,Jonas Omlin,Goalkeeper
1977,Ado Onaiwu,Centre-Forward
1978,Amadou Onana,Defensive Midfield
1979,André Onana,Goalkeeper
1980,Jean Onana,Defensive Midfield
1981,Karim Onisiwo,Centre-Forward
1982,Josh Onomah,Central Midfield
1983,Paul Onuachu,Centre-Forward
1984,Frank Onyeka,Central Midfield
1985,Loïs Openda,Centre-Forward
1986,Willi Orban,Centre-Back
1987,Ivan Ordets,Centre-Back
1988,Divock Origi,Centre-Forward
1989,Aimar Oroz,Attacking Midfield
1990,Mislav Orši?,Left Winger
1991,Riccardo Orsolini,Right Winger
1992,Stefan Ortega,Goalkeeper
1993,Pedro Ortiz,Central Midfield
1994,Jordi Osei-Tutu,Right WingBack
1995,Victor Osimhen,Centre-Forward
1996,Patrick Osterhage,Central Midfield
1997,Paulo Otávio,Left-Back
1998,Dango Ouattara,Right Winger
2000,Remi Oudin,Right Winger
2001,Zinédine Ould Khaled,Defensive Midfield
2002,Azzedine Ounahi,Central Midfield
2004,Adam Ounas,Right Winger
2006,Thomas Ouwejan,Left-Back
2007,Reece Oxford,Centre-Back
2008,Alex Oxlade-Chamberlain,Central Midfield
2009,Mikel Oyarzabal,Left Winger
2010,Salih Özcan,Defensive Midfield
2011,Cenk Özkacar,Centre-Back
2012,David Ozoh,Defensive Midfield
2013,Levin Öztunal?,Central Midfield
2014,Fernando Pacheco,Goalkeeper
2016,Jon Pacheco,Centre-Back
2017,Gonçalo Paciência,Centre-Forward
2018,Simone Pafundi,Attacking Midfield
2019,Exequiel Palacios,Central Midfield
2020,Helibelton Palacios,Right-Back
2021,Ante Palaversa,Central Midfield
2022,Isaac Palazón Camacho,Right Winger
2023,João Palhinha,Defensive Midfield
2024,Nicolas Pallois,Centre-Back
2025,Cole Palmer,Attacking Midfield
2026,Erik Palmer-Brown,Centre-Back
2027,Emerson Palmieri,Left-Back
2028,Miloš Pantovi?,Attacking Midfield
2029,Flavio Paoletti,Defensive Midfield
2030,Antonios Papadopoulos,Defensive Midfield
2031,Lucas Paquetá,Attacking Midfield
2033,Aitor Paredes,Centre-Back
2034,Kevin Paredes,Left Winger
2035,Leandro Paredes,Defensive Midfield
2037,Daniel Parejo,Central Midfield
2038,Fabiano Parisi,Left-Back
2039,Moises Parra Gutierrez,Left Winger
2040,Raúl Parra,Right-Back
2041,Thomas Partey,Defensive Midfield
2042,Marco Pašali?,Right Winger
2043,Mario Pašali?,Attacking Midfield
2044,Pascu,"['Series([], Name: TmPos, dtype: object)']"
2045,Felix Passlack,Right-Back
2046,Javier Pastore,Attacking Midfield
2047,Patric,Centre-Back
2048,Rui Patrício,Goalkeeper
2049,Nathan Patterson,Right-Back
2050,Paulinho,Central Midfield
2051,Gabriel Paulista,Centre-Back
2052,Benjamin Pavard,Right-Back
2053,Ji?í Pavlenka,Goalkeeper
2054,Dimitri Payet,Attacking Midfield
2055,Ben Pearson,Central Midfield
2056,Kristian Pedersen,Left-Back
2057,Mads Pedersen,Left-Back
2058,Alfonso Pedraza,Left-Back
2059,Pedri,Central Midfield
2060,Pedro,Right Winger
2061,Adrià Pedrosa,Left-Back
2062,Jordan Pefok,Centre-Forward
2063,Gianluca Pegolo,Goalkeeper
2064,Dženan Pej?inovi?,"['Series([], Name: TmPos, dtype: object)']"
2065,Peter Pekarík,Right-Back
2066,Pietro Pellegri,Centre-Forward
2067,Lorenzo Pellegrini,Attacking Midfield
2068,Luca Pellegrini,Left-Back
2070,Théo Pellenard,Centre-Back
2071,Facundo Pellistri,Right Winger
2072,Timothee Pembele,Right-Back
2073,Iñaki Peña,Goalkeeper
2074,Rubén Peña,Right-Back
2075,Patrick Pentz,Goalkeeper
2076,Nicolas Pépé,Right Winger
2077,Ricardo Pepi,Centre-Forward
2078,Pepín,Central Midfield
2079,Alberto Perea,Left Winger
2080,Juan Perea,Centre-Forward
2081,Andreas Pereira,Attacking Midfield
2082,Brayann Pereira,Right-Back
2083,Danilo Pereira,Defensive Midfield
2084,Mathias Pereira Lage,Right Winger
2085,Ricardo Pereira,Right-Back
2086,Roberto Pereyra,Attacking Midfield
2087,Ayoze Pérez,Second Striker
2089,Carles Pérez,Right Winger
2090,Francisco Perez,Right Winger
2091,Kike Pérez,Central Midfield
2092,Lucas Pérez,Centre-Forward
2093,Luis Pérez,Right-Back
2094,Nehuén Pérez,Centre-Back
2095,Simone Perilli,Goalkeeper
2096,Mattia Perin,Goalkeeper
2097,Samuele Perisan,Goalkeeper
2098,Ivan Periši?,Left WingBack
2099,Romain Perraud,Left-Back
2100,Gaëtan Perrin,Right Winger
2101,Lucas Perrin,Centre-Back
2102,Máximo Perrone,Defensive Midfield
2103,Matteo Pessina,Attacking Midfield
2104,Andrea Petagna,Centre-Forward
2105,Nils Petersen,Centre-Forward
2106,Lukas Petkov,Right Winger
2107,Cameron Peupion,"['Series([], Name: TmPos, dtype: object)']"
2108,Germán Pezzella,Centre-Back
2109,Giuseppe Pezzella,Left-Back
2110,Luca Pfeiffer,Centre-Forward
2111,Maximilian Philipp,Second Striker
2113,Kalvin Phillips,Defensive Midfield
2114,Nathaniel Phillips,Centre-Back
2115,Krzysztof Pi?tek,Centre-Forward
2116,Roberto Piccoli,Centre-Forward
2118,Charles Pickel,Defensive Midfield
2119,Jordan Pickford,Goalkeeper
2120,Amos Pieper,Centre-Back
2121,Ronaël Pierre-Gabriel,Right-Back
2123,Andrea Pinamonti,Centre-Forward
2124,Ethan Pinnock,Centre-Back
2125,Yeremi Pino,Left Winger
2126,Gerard Piqué,Centre-Back
2127,Lorenzo Pirola,Centre-Back
2128,Niccolò Pisilli,Central Midfield
2129,Marko Pjaca,Left Winger
2130,Óscar Plano,Right Winger
2131,Gonzalo Plata,Right Winger
2132,Marvin Plattenhardt,Left-Back
2133,Alassane Pléa,Centre-Forward
2134,Tommaso Pobega,Central Midfield
2135,Daniel Podence,Right Winger
2136,Paul Pogba,Central Midfield
2137,Joel Pohjanpalo,Centre-Forward
2138,Matteo Politano,Right Winger
2139,Sebastian Polter,Centre-Forward
2140,Ezequiel Ponce,Centre-Forward
2141,Julien Ponceau,Attacking Midfield
2142,Marin Pongra?i?,Centre-Back
2143,Nick Pope,Goalkeeper
2144,?ukasz Por?ba,Defensive Midfield
2145,Jackson Porozo,Centre-Back
2146,Pedro Porro,Right-Back
2147,Francisco Portillo,Right Winger
2148,Portu,Right Winger
2149,Stefan Posch,Centre-Back
2151,Yussuf Poulsen,Centre-Forward
2152,José Pozo,Attacking Midfield
2153,Manuel Pozo,Right Winger
2154,Alejandro Pozo Pozo,Right-Back
2155,Dennis Praet,Central Midfield
2156,Abdón Prats,Centre-Forward
2157,Sanjin Prci?,Central Midfield
2158,Isaac Price,Central Midfield
2159,Grischa Prömel,Central Midfield
2160,Ivan Provedel,Goalkeeper
2161,Javi Puado,Left Winger
2162,Mehdi Puch Herrantz,Defensive Midfield
2163,Tymoteusz Puchacz,Left-Back
2164,Arnau Puigmal,Central Midfield
2165,Christian Pulisic,Right Winger
2166,Ignacio Pussetto,Right Winger
2167,Niklas Pyyhtiä,Central Midfield
2168,Fabio Quagliarella,Centre-Forward
2169,Giacomo Quagliata,Left-Back
2170,Eduardo Quaresma,Centre-Back
2171,Joshua Quarshie,Centre-Back
2172,Ghjuvanni Quilichini,Goalkeeper
2173,Domingos Quina,Central Midfield
2174,Rubén Quintanilla,"['Series([], Name: TmPos, dtype: object)']"
2175,Adrien Rabiot,Central Midfield
2176,Nemanja Radonji?,Left Winger
2177,Ivan Radovanovi?,Defensive Midfield
2178,Ionu? Radu,Goalkeeper
2180,?tefan Radu,Centre-Back
2181,Antonio Raillo,Centre-Back
2182,Antonio Raimondo,Centre-Forward
2183,Predrag Rajkovi?,Goalkeeper
2184,Ivan Rakiti?,Central Midfield
2185,Diant Ramaj,Goalkeeper
2186,Largie Ramazani,Left Winger
2187,Simon Ramet,Right-Back
2188,Adil Rami,Centre-Back
2189,Chris Ramos,Centre-Forward
2190,Sergio Ramos,Centre-Back
2191,Aaron Ramsdale,Goalkeeper
2192,Aaron Ramsey,Central Midfield
2193,Jacob Ramsey,Central Midfield
2194,Luca Ranieri,Left-Back
2195,Andrea Ranocchia,Centre-Back
2196,Filippo Ranocchia,Central Midfield
2197,Lilian Raolisoa,Right-Back
2198,Raphinha,Right Winger
2199,Nicolai Rapp,Central Midfield
2200,Elba Rashani,Left Winger
2201,Marcus Rashford,Left Winger
2202,Giacomo Raspadori,Second Striker
2204,Rafael Ratão,Left Winger
2205,David Raum,Left-Back
2206,Nicola Ravaglia,Goalkeeper
2207,Rayan Raveloson,Defensive Midfield
2208,David Raya,Goalkeeper
2209,Tim Ream,Centre-Back
2210,Ante Rebi?,Left Winger
2211,Arkadiusz Reca,Left-Back
2212,Nathan Redmond,Left Winger
2213,Harrison Reed,Central Midfield
2214,Sergio Reguilón,Left-Back
2215,Bobby Reid,Attacking Midfield
2216,Pepe Reina,Goalkeeper
2217,Jeff Reine-Adélaïde,Attacking Midfield
2219,Reinier,Attacking Midfield
2220,Rocco Reitz,Central Midfield
2221,Karim Rekik,Centre-Back
2222,Álex Remiro,Goalkeeper
2223,Panagiotis Retsos,Centre-Back
2224,Marco Reus,Attacking Midfield
2225,Alejandro Revuelta Montero,Centre-Back
2226,Elvis Rexhbeçaj,Central Midfield
2227,Gio Reyna,Attacking Midfield
2228,Chadi Riad,Centre-Back
2229,Nico Ribaudo,Left Winger
2230,Alexsandro Ribeiro,Centre-Back
2231,Franck Ribéry,Left Winger
2232,Samuele Ricci,Defensive Midfield
2233,Declan Rice,Defensive Midfield
2234,Chris Richards,Centre-Back
2235,Richarlison,Centre-Forward
2236,Marco Richter,Right Winger
2237,Diego Rico,Left-Back
2238,Jaïro Riedewald,Defensive Midfield
2239,Manuel Riemann,Goalkeeper
2240,Tomás Rincón,Defensive Midfield
2241,Rémy Riou,Goalkeeper
2242,Renaud Ripart,Attacking Midfield
2243,Rodrigo Riquelme,Right Winger
2244,Matt Ritchie,Left-Back
2245,Sergi Roberto,Central Midfield
2246,Lucas Robertone,Central Midfield
2247,Andrew Robertson,Left-Back
2248,Antonee Robinson,Left-Back
2249,Joel Robles,Goalkeeper
2250,Joel Roca,Left Winger
2251,Marc Roca,Defensive Midfield
2252,Enzo Roco,Centre-Back
2253,Marek Rodák,Goalkeeper
2254,Sebastian Rode,Central Midfield
2255,Joe Rodon,Centre-Back
2256,Rodri,Defensive Midfield
2258,Rodrigo,Centre-Forward
2259,Ángel Rodríguez,Centre-Forward
2260,Óscar Rodríguez Arnaiz,Attacking Midfield
2261,Dani Rodríguez,Attacking Midfield
2262,Guido Rodríguez,Defensive Midfield
2263,Miguel Rodríguez,Right Winger
2264,Pablo Rodríguez,Second Striker
2265,Ricardo Rodríguez,Centre-Back
2266,Rodrygo,Right Winger
2267,Mads Roerslev,Right-Back
2268,Agustín Rogel,Centre-Back
2269,Rogério,Left-Back
2270,Merlin Röhl,Central Midfield
2271,Tony Rölke,"['Series([], Name: TmPos, dtype: object)']"
2272,Filippo Romagna,Centre-Back
2273,Alessio Romagnoli,Centre-Back
2274,Simone Romagnoli,Centre-Back
2275,Leonardo Román,Goalkeeper
2276,Cristian Romero,Centre-Back
2277,Iván Romero,Centre-Forward
2278,Luka Romero,Right Winger
2279,Oriol Romeu,Defensive Midfield
2281,Cristiano Ronaldo,Centre-Forward
2282,Connor Ronan,Central Midfield
2283,Salomón Rondón,Centre-Forward
2284,Valentin Rongier,Central Midfield
2285,Marten de Roon,Defensive Midfield
2286,Pablo Rosario,Defensive Midfield
2287,Francesco Rossi,Goalkeeper
2288,Tom Rothe,Left-Back
2289,Joe Rothwell,Central Midfield
2290,Anthony Rouault,Centre-Back
2291,Jérôme Roussillon,Left-Back
2293,Nicolò Rovella,Defensive Midfield
2295,Amir Rrahmani,Centre-Back
2296,Ruan,Centre-Back
2297,Rubén,Goalkeeper
2298,Antonio Rüdiger,Centre-Back
2299,Sebastian Rudy,Defensive Midfield
2300,Daniele Rugani,Centre-Back
2301,Matteo Ruggeri,Left-Back
2302,Mário Rui,Left-Back
2303,Aitor Ruibal,Right Winger
2304,Kays Ruiz,Central Midfield
2305,Fabián Ruiz Peña,Central Midfield
2306,Víctor Ruiz,Centre-Back
2307,Gerónimo Rulli,Goalkeeper
2308,Alessandro Russo,Goalkeeper
2309,Franco Russo,Centre-Back
2310,Georginio Rutter,Centre-Forward
2312,Julian Ryerson,Right-Back
2314,Frederik Rønnow,Centre-Back
2315,José Sá,Goalkeeper
2316,Youssouf Sabaly,Right-Back
2317,Halid Šabanovi?,Right-Back
2318,Abdelhamid Sabiri,Attacking Midfield
2319,Marcel Sabitzer,Central Midfield
2321,Falaye Sacko,Right-Back
2322,Umar Sadiq,Centre-Forward
2324,Alexis Saelemaekers,Right Winger
2325,Wesley Saïd,Left Winger
2326,Allan Saint-Maximin,Left Winger
2327,Théo Sainte-Luce,Left-Back
2328,Samuel Sáiz,Left Winger
2329,Bukayo Saka,Right Winger
2330,Hamza Sakhi,Attacking Midfield
2331,Mamadou Sakho,Centre-Back
2332,Jacopo Sala,Central Midfield
2333,Ibrahim Salah,Left Winger
2334,Mohamed Salah,Right Winger
2335,Amine Salama,Centre-Forward
2336,Kike Salas,Centre-Back
2337,William Saliba,Defensive Midfield
2338,Dikeni Salifou,Centre-Back
2339,Mohammed Salisu,Right Winger
2340,Roland Sallai,Centre-Back
2341,Yoann Salmier,Right Winger
2342,Salvi,Attacking Midfield
2343,Lazar Samardzic,Defensive Midfield
2344,Diadie Samassékou,Right Winger
2345,Mama Samba Baldé,Goalkeeper
2346,Brice Samba,Central Midfield
2347,Albert Sambi Lokonga,Right-Back
2349,Junior Sambia,Defensive Midfield
2350,Samuel,Central Midfield
2351,Fede San Emeterio,Centre-Forward
2352,Antonio Sanabria,Right Winger
2353,Leandro Sanca,Second Striker
2354,Oihan Sancet,Central Midfield
2355,Renato Sanches,Left Winger
2356,Alexis Sánchez,Central Midfield
2357,Antonio Sánchez,Centre-Back
2358,Davinson Sánchez,Right Winger
2359,Iván Sánchez,Centre-Back
2360,Javi Sánchez,Left-Back
2361,Manu Sánchez,Goalkeeper
2362,Robert Sánchez,Left Winger
2363,Jadon Sancho,Left-Back
2364,Alex Sandro,Left Winger
2365,Leroy Sané,Right Winger
2366,Sidi Sané,Central Midfield
2367,Morgan Sanson,Left Winger
2369,Nicola Sansone,Central Midfield
2370,Baptiste Santamaria,Attacking Midfield
2371,Riccardo Saponara,Right Winger
2372,Pablo Sarabia,Attacking Midfield
2374,Jeremy Sarmiento,Attacking Midfield
2375,Amin Sarr,Centre-Forward
2376,Bouna Sarr,Right-Back
2377,Malang Sarr,Centre-Back
2378,Mamadou Sarr,"['Series([], Name: TmPos, dtype: object)']"
2379,Mouhamadou Sarr,Goalkeeper
2380,Martin Satriano,Centre-Forward
2381,Téji Savanier,Central Midfield
2382,Esteban Saveljich,Centre-Back
2383,Stefan Savi?,Centre-Back
2384,Joe Scally,Right-Back
2385,Giorgio Scalvini,Centre-Back
2386,Gianluca Scamacca,Centre-Forward
2387,Gustavo Scarpa,Attacking Midfield
2388,Kevin Schade,Right Winger
2390,András Schäfer,Central Midfield
2391,Fabian Schär,Centre-Back
2392,Derry Scherhant,Centre-Forward
2393,Patrik Schick,Centre-Forward
2394,Kingsley Schindler,Right Winger
2395,Xaver Schlager,Central Midfield
2396,Keven Schlotterbeck,Centre-Back
2398,Nico Schlotterbeck,Centre-Back
2399,Jeffrey Schlupp,Left Winger
2400,Kasper Schmeichel,Goalkeeper
2401,Jonathan Schmid,Right-Back
2402,Romano Schmid,Attacking Midfield
2403,Kenneth Schmidt,Centre-Back
2404,Niklas Schmidt,Attacking Midfield
2405,Benno Schmitz,Right-Back
2406,Jerdy Schouten,Defensive Midfield
2407,Perr Schuurs,Centre-Back
2408,Marvin Schwäbe,Goalkeeper
2409,Alexander Schwolow,Goalkeeper
2410,Manuel Sebastián,"['Series([], Name: TmPos, dtype: object)']"
2411,Demba Seck,Right Winger
2412,Haris Seferovi?,Centre-Forward
2413,Telasco Segovia,"['Series([], Name: TmPos, dtype: object)']"
2414,Jacopo Segre,Central Midfield
2415,Paul Seguin,Central Midfield
2416,Alidu Seidu,Centre-Back
2417,Davie Selke,Centre-Forward
2419,Matz Sels,Goalkeeper
2420,Nélson Semedo,Right-Back
2421,Vivaldo Semedo,Centre-Forward
2422,Antoine Semenyo,Centre-Forward
2423,Marvin Senaya,Right-Back
2424,Marcos Senesi,Centre-Back
2425,Stefano Sensi,Central Midfield
2426,Jaime Seoane,Central Midfield
2427,Luigi Sepe,Goalkeeper
2428,Suat Serdar,Central Midfield
2429,Leonardo Sernicola,Left-Back
2430,Ryan Sessegnon,Left WingBack
2431,Stephan El Shaarawy,Left Winger
2432,Eniss Shabani,"['Series([], Name: TmPos, dtype: object)']"
2433,Luke Shaw,Left-Back
2434,Jonjo Shelvey,Central Midfield
2436,Eldor Shomurodov,Centre-Forward
2438,Kaj Sierhuis,Centre-Forward
2439,Vincent Sierro,Central Midfield
2440,Kiliann Sildillia,Right-Back
2441,André Silva,Centre-Forward
2442,Bernardo Silva,Attacking Midfield
2443,Caio Henrique Oliveira Silva,Right Winger
2444,David Silva,Attacking Midfield
2445,Rui Silva,Goalkeeper
2446,Thiago Silva,Centre-Back
2447,Marco Silvestri,Goalkeeper
2448,Abdallah Sima,Right Winger
2449,Mohamed Simakan,Centre-Back
2450,Giovanni Simeone,Centre-Forward
2451,Ellis Simms,Centre-Forward
2452,Simo,Centre-Back
2453,Moses Simon,Left Winger
2454,Unai Simón,Goalkeeper
2455,Lassine Sinayoko,Centre-Forward
2456,Wilfried Singo,Right-Back
2457,Luis Sinisterra,Left Winger
2458,Daley Sinkgraven,Left-Back
2459,Tobias Sippel,Goalkeeper
2460,Hugo Siquet,Right-Back
2461,Salvatore Sirigu,Goalkeeper
2462,Ibrahima Sissoko,Defensive Midfield
2463,Moussa Sissoko,Central Midfield
2464,Tim Skarke,Right Winger
2466,Ellyes Skhiri,Defensive Midfield
2467,Oliver Skipp,Defensive Midfield
2468,Leo Skiri Østigård,Centre-Back
2469,?ukasz Skorupski,Goalkeeper
2470,Robert Skov,Right Winger
2471,Milan Škriniar,Centre-Back
2472,Naatan Skyttä,Attacking Midfield
2473,Islam Slimani,Centre-Forward
2474,Chris Smalling,Centre-Back
2475,Adam Smith,Right-Back
2476,Emile Smith Rowe,Attacking Midfield
2477,Hrvoje Smol?i?,Centre-Back
2478,Cédric Soares,Right-Back
2480,Danilo Soares,Left-Back
2481,Eduard Sobol,Left-Back
2482,Rubén Sobrino,Centre-Forward
2483,Alex Sola,Right-Back
2484,Dominic Solanke,Centre-Forward
2485,Augusto Solari,Right Winger
2486,Ola Solbakken,Right Winger
2487,Nikola Soldo,Centre-Back
2488,Carlos Soler,Central Midfield
2490,François-Joseph Sollacaro,Goalkeeper
2491,Manor Solomon,Left Winger
2492,Yann Sommer,Goalkeeper
2494,Brandon Soppy,Right-Back
2496,David Soria,Goalkeeper
2497,Roberto Soriano,Attacking Midfield
2498,Borna Sosa,Left-Back
2499,Joaquin Sosa,Centre-Back
2500,Hugo Sotelo,Right Winger
2501,Florian Sotoca,Centre-Forward
2502,Riccardo Sottil,Left Winger
2503,Tomáš Sou?ek,Defensive Midfield
2504,Matìas Soulé,Right Winger
2505,Moussa Soumano,Centre-Forward
2506,Adama Soumaoro,Centre-Back
2507,Boubakary Soumaré,Defensive Midfield
2508,Arnaud Souquet,Right-Back
2509,Dyego Sousa,Centre-Forward
2510,Harry Souttar,Centre-Back
2511,Vinicius Souza,Defensive Midfield
2512,Djibril Sow,Central Midfield
2513,Ça?lar Söyüncü,Centre-Back
2514,Kevin Spadanuda,Left Winger
2515,Djed Spence,Right-Back
2517,Stijn Spierings,Defensive Midfield
2518,Leonardo Spinazzola,Left-Back
2519,Marco Sportiello,Goalkeeper
2520,Jack Stacey,Right-Back
2521,Anton Stach,Defensive Midfield
2522,Kostas Stafylidis,Left-Back
2523,Jens Stage,Central Midfield
2524,Veit Stange,Defensive Midfield
2525,Josip Staniši?,Right-Back
2526,Junior Stanislas,Left Winger
2527,Jay Stansfield,Centre-Forward
2528,Niklas Stark,Centre-Back
2529,Jason Steele,Goalkeeper
2530,Calvin Stengs,Right Winger
2531,Pascal Stenzel,Right-Back
2532,Jack Stephens,Centre-Back
2534,Raheem Sterling,Left Winger
2535,Angelo Stiller,Defensive Midfield
2536,Lars Stindl,Attacking Midfield
2537,Kevin Stöger,Attacking Midfield
2538,Petar Stojanovi?,Right-Back
2539,John Stones,Centre-Back
2540,Jørgen Strand Larsen,Centre-Forward
2541,Tony Strata,"['Series([], Name: TmPos, dtype: object)']"
2542,Gabriel Strefezza,Right Winger
2543,Dávid Strelec,Centre-Forward
2544,Pascal Struijk,Centre-Back
2545,Cristhian Stuani,Centre-Forward
2546,Damián Suárez,Right-Back
2547,Denis Suárez,Attacking Midfield
2548,Mario Suárez,Centre-Back
2549,Gabriel Suazo,Left-Back
2550,Isaac Success,Centre-Forward
2551,Niklas Süle,Centre-Back
2552,Ibrahim Sulemana,Defensive Midfield
2553,Kamaldeen Sulemana,Left Winger
2555,Crysencio Summerville,Right Winger
2556,Ivan Šunji?,Defensive Midfield
