Player,Unnamed: 1,Position
Julian Eitschberger,,Right-Back
Chidera Ejuke,,Left Winger
Albin Ekdal,,Defensive Midfield
Hugo Ekitike,,Centre-Forward
Emmanuel Ekong,,Centre-Forward
Anthony Elanga,,Left Winger
Alberth Elis,,Right Winger
Mikael Ellertsson,,Central Midfield
Harvey Elliott,,Right Winger
Elif Elmas,,Attacking Midfield
Mohamed Elneny,,Defensive Midfield
Aritz Elustondo,,Centre-Back
Nico Elvedi,,Centre-Back
Rodrigo Ely,,Centre-Back
Mohamed Elyounoussi,,Left Winger
Adri Embarba,,Right Winger
Breel Embolo,,Centre-Forward
Emerson,,Right-Back
Youssef En-Nesyri,,Centre-Forward
Wataru Endo,,Defensive Midfield
Arne Engels,,Central Midfield
Christian Eriksen,,Attacking Midfield
Martin Erlic,,Centre-Back
Tjark Ernst,,"['Series([], Name: TmPos, dtype: object)']"
Gonzalo Escalante,,Central Midfield
Sergio Escudero,,Left-Back
Alfonso Espino,,Left-Back
Bernardo Espinosa,,Centre-Back
Salvatore Esposito,,Defensive Midfield
Maxime Estève,,Centre-Back
Pervis Estupiñán,,Left-Back
Jonny Evans,,Centre-Back
Edu Expósito,,Central Midfield
Eberechi Eze,,Attacking Midfield
Kimberly Ezekwem,,Left-Back
Nicolás Ezequiel Fernández,,Left-Back
Abdessamad Ezzalzouli,,Left Winger
Łukasz Fabiański,,Goalkeeper
Fabinho,,Defensive Midfield
Fábio,,Right-Back
Noah Fadiga,,Right-Back
Wout Faes,,Centre-Back
Nicolò Fagioli,,Central Midfield
Ralf Fährmann,,Goalkeeper
Romain Faivre,,Right Winger
Radamel Falcao,,Centre-Forward
Wladimiro Falcone,,Goalkeeper
Fali,,Centre-Back
Fallou Fall,,"['Series([], Name: TmPos, dtype: object)']"
Mamadou Fall,,Centre-Back
Davide Faraoni,,Right-Back
Ansu Fati,,Left Winger
Khalil Fayad,,Central Midfield
Cheikh Faye,,Right-Back
Federico Fazio,,Centre-Back
Jacopo Fazzini,,Central Midfield
Zouhair Feddal,,Centre-Back
Nabil Fekir,,Attacking Midfield
Felipe,,Centre-Back
Luiz Felipe,,Centre-Back
João Félix,,Second Striker
Ohis Felix Uduokhai,,Centre-Back
Kiko Femenía,,Right-Back
Evan Ferguson,,Centre-Forward
Lewis Ferguson,,Central Midfield
Bruno Fernandes,,Attacking Midfield
Edimilson Fernandes,,Central Midfield
Aitor Fernández,,Goalkeeper
Álex Fernández,,Attacking Midfield
Álvaro Fernández,,Goalkeeper
Carlos Fernández,,Centre-Forward
Enzo Fernández,,Central Midfield
Federico Fernández,,Centre-Back
Joaquín Fernández,,Centre-Back
Valery Fernández,,Right-Back
Fernando,,Defensive Midfield
Alex Ferrari,,Centre-Back
Salvador Ferrer,,Right-Back
Jordan Ferri,,Central Midfield
Fidel,,Left Winger
Karol Fila,,Right-Back
Vincenzo Fiorillo,,Goalkeeper
Roberto Firmino,,Centre-Forward
Junior Firpo,,Left-Back
Kilian Fischer,,Right-Back
Mark Flekken,,Goalkeeper
Florian Flick,,Defensive Midfield
Alexis Flips,,Right Winger
Alessandro Florenzi,,Right-Back
Phil Foden,,Central Midfield
Seko Fofana,,Central Midfield
Wesley Fofana,,Centre-Back
Yahia Fofana,,Goalkeeper
Youssouf Fofana,,Central Midfield
Thomas Foket,,Right-Back
José Fonte,,Centre-Back
Pablo Fornals,,Attacking Midfield
Emil Forsberg,,Left Winger
Adam Forshaw,,Central Midfield
Fraser Forster,,Goalkeeper
Philipp Förster,,Attacking Midfield
Steven Fortes,,Centre-Back
Timothy Fosu-Mensah,,Right-Back
Dimitri Foulquier,,Right-Back
Juan Foyth,,Right-Back
Raphael Framberger,,Right-Back
Tyrese Francois,,Central Midfield
Bartol Franjić,,Defensive Midfield
Przemysław Frankowski,,Left WingBack
Ryan Fraser,,Left Winger
Davide Frattesi,,Central Midfield
Oscar Fraulo,,Central Midfield
Fred,,Central Midfield
Ryan Fredericks,,Right-Back
Iván Fresneda,,Right-Back
Remo Freuler,,Central Midfield
Michael Frey,,Centre-Forward
Marco Friedl,,Centre-Back
Marvin Friedrich,,Centre-Back
Jeremie Frimpong,,Right-Back
Chris Führich,,Right Winger
Angelo Fulgini,,Attacking Midfield
Niclas Füllkrug,,Centre-Forward
Matteo Gabbia,,Centre-Back
Manolo Gabbiadini,,Centre-Forward
Gianluca Gaetano,,Attacking Midfield
Roberto Gagliardini,,Central Midfield
Adolfo Gaich,,Centre-Forward
Cody Gakpo,,Left Winger
Javi Galán,,Left-Back
Iñigo Ruiz de Galarreta,,Central Midfield
Pablo Galdames Millán,,Defensive Midfield
Conor Gallagher,,Central Midfield
Antonino Gallo,,Left-Back
Gauthier Gallon,,Goalkeeper
Cristian Gamboa,,Right-Back
Kévin Gameiro,,Centre-Forward
Idrissa Gana Gueye,,Central Midfield
Ignatius Ganago,,Centre-Forward
Silvère Ganvoula M'Boussy,,Centre-Forward
Aleix García,,Central Midfield
Álvaro García,,Left Winger
Borja García,,Attacking Midfield
Carlos García,,Centre-Back
Dani García,,Central Midfield
David García,,Centre-Back
Eric García,,Centre-Back
Fran Garcia,,Left-Back
Joan García,,Goalkeeper
Raúl García,,Centre-Forward
Rubén García,, Right-Back
Unai García,,Centre-Back
Alejandro Garnacho,,Left Winger
James Garner,,Defensive Midfield
Felix Garreta,,Centre-Back
Aleix Garrido,,Central Midfield
Sékou Gassama,,Centre-Forward
Johan Gastien,,Defensive Midfield
Federico Gatti,,Centre-Back
Gavi,,Central Midfield
Paulo Gazzaniga,,Goalkeeper
David de Gea,,Goalkeeper
Dario Gebuhr,,Centre-Back
Dennis Geiger,,Central Midfield
Joe Gelhardt,,Centre-Forward
Valentin Gendrey,,Right-Back
Denis Genreau,,Attacking Midfield
Yannick Gerhardt,,Central Midfield
Valère Germain,,Centre-Forward
Gerson,,Central Midfield
Ismaël Gharbi,,Attacking Midfield
Paolo Ghiglione,,Right WingBack
Saman Ghoddos,,Attacking Midfield
Faouzi Ghoulam,,Left-Back
Morgan Gibbs-White,,Attacking Midfield
Niko Gießelmann,,Left-Back
Samuel Gigot,,Centre-Back
Rafał Gikiewicz,,Goalkeeper
Bryan Gil,,Left Winger
David Gil,,Goalkeeper
Óscar Gil,,Right-Back
Mario Gila,,Centre-Back
Billy Gilmour,,Central Midfield
Álvaro Giménez,,Centre-Forward
Gvidas Gineitis,,Central Midfield
Matthias Ginter,,Centre-Back
Andrei Girotto,,Centre-Back
Olivier Giroud,,Centre-Forward
Serge Gnabry,,Right Winger
Degnand Gnonto,,Left Winger
Ben Godfrey,,Centre-Back
Pierluigi Gollini,,Goalkeeper
Aleksandr Golovin,,Attacking Midfield
André Gomes,,Central Midfield
Angel Gomes,,Attacking Midfield
João Gomes,,Defensive Midfield
Toti Gomes,,Centre-Back
Dani Gómez,,Centre-Forward
Joe Gomez,,Centre-Back
Maxi Gómez,,Centre-Forward
Moi Gómez,,Left Winger
Papu Gómez,,Attacking Midfield
Sergi Gómez,,Centre-Back
Sergio Gómez,,Left-Back
Antonio Gomis,,"['Series([], Name: TmPos, dtype: object)']"
Maxime Gonalons,,Defensive Midfield
Diego González,,Centre-Back
Édgar González,,Centre-Back
Giovanni González,,Right-Back
Joan Gonzàlez,,Central Midfield
Nicolás González,,Left Winger
Nicolás González,,Central Midfield
Oumar Gonzalez,,Centre-Back
Roberto González,,Right Winger
Jacek Góralski,,Defensive Midfield
Anthony Gordon,,Left Winger
Leon Goretzka,,Central Midfield
Andoni Gorosabel,,Right-Back
Robin Gosens,,Left WingBack
Mario Götze,,Attacking Midfield
Amine Gouiri,,Centre-Forward
Jeffrey Gouweleeuw,,Centre-Back
Jonathan Gradit,,Centre-Back
José Gragera,,Central Midfield
Alberto Grassi,,Central Midfield
Ryan Gravenberch,,Central Midfield
Andrew Gravillon,,Centre-Back
Demarai Gray,,Left Winger
Adrian Grbić,,Centre-Forward
Ivo Grbić,,Goalkeeper
Jack Grealish,,Left Winger
Sam Greenwood,,Centre-Forward
Michael Gregoritsch,,Centre-Forward
Dominik Greif,,Goalkeeper
Leo Greiml,,Centre-Back
Clément Grenier,,Central Midfield
Antoine Griezmann,,Second Striker
Vincenzo Grifo,,Left Winger
Lennart Grill,,Goalkeeper
Christian Groß,,Defensive Midfield
Pascal Groß,,Central Midfield
Brajan Gruda,,Right Winger
Ilia Gruev,,Defensive Midfield
Carlos Gruezo,,Defensive Midfield
Vicente Guaita,,Goalkeeper
Andrés Guardado,,Central Midfield
Sergi Guardiola,,Centre-Forward
Nemanja Gudelj,,Defensive Midfield
Gabriel Gudmundsson,,Left-Back
Gonçalo Guedes,,Left Winger
Axel Gueguin,,Right Winger
Marc Guéhi,,Centre-Back
Mattéo Guendouzi,,Central Midfield
Javier Guerra,,Central Midfield
Raphaël Guerreiro,,Left-Back
Axel Guessand,,"['Series([], Name: TmPos, dtype: object)']"
Evann Guessand,,Centre-Forward
Ander Guevara,,Central Midfield
Pape Gueye,,Defensive Midfield
Josuha Guilavogui,,Defensive Midfield
Frederic Guilbert,,Right-Back
Bruno Guimarães,,Defensive Midfield
Serhou Guirassy,,Centre-Forward
Rafik Guitane,,Attacking Midfield
Péter Gulácsi,,Goalkeeper
Manuel Gulde,,Centre-Back
Gerard Gumbau,,Defensive Midfield
Robert Gumny,,Right-Back
İlkay Gündoğan,,Central Midfield
Christian Günter,,Left-Back
Koray Günter,,Centre-Back
Gorka Guruzeta,,Centre-Forward
Malo Gusto,,Right-Back
Raúl Guti,,Central Midfield
Miguel Gutiérrez,,Left-Back
Joško Gvardiol,,Centre-Back
Darko Gyabi,,Central Midfield
Emmanuel Gyasi,,Left Winger
Norbert Gyömbér,,Centre-Back
Christian Gytkjær,,Centre-Forward
Erling Haaland,,Centre-Forward
Nicolas Haas,,Central Midfield
Janik Haberer,,Central Midfield
Alexander Hack,,Centre-Back
Munir El Haddadi,,Centre-Forward
Jaouen Hadjam,,Left-Back
Dennis Hadzikadunic,,Centre-Back
André Hahn,,Right Winger
Amadou Haidara,,Central Midfield
Massadio Haïdara,,Left-Back
Achraf Hakimi,,Right-Back
Lewis Hall,,Left-Back
Sébastien Haller,,Centre-Forward
Marcel Halstenberg,,Left-Back
Mathis Hamdi,,Left-Back
Ben Hamed Touré,,Centre-Forward
Romain Hamouma,,Centre-Forward
Saïd Hamulic,,Centre-Forward
Andreas Hanche-Olsen,,Centre-Back
Samir Handanović,,Goalkeeper
Genki Haraguchi,,Attacking Midfield
Amine Harit,,Attacking Midfield
Luke Harris,,Attacking Midfield
Jack Harrison,,Left Winger
Abdou Harroui,,Central Midfield
Makoto Hasebe,,Defensive Midfield
Haissem Hassan,,Right Winger
Hans Hateboer,,Right-Back
Kai Havertz,,Centre-Forward
Eden Hazard,,Left Winger
Thorgan Hazard,,Left Winger
Rhys Healey,,Centre-Forward
Jan Paul van Hecke,,Centre-Back
Jonas Hector,,Left-Back
Hwang Hee-chan,,Centre-Forward
Gauthier Hein,,Right Winger
Dominique Heintz,,Centre-Back
Dean Henderson,,Goalkeeper
Jordan Henderson,,Central Midfield
Liam Henderson,,Central Midfield
Jack Hendry,,Centre-Back
Wayne Hennessey,,Goalkeeper
Benjamin Henrichs,,Right-Back
Henrique,,Left-Back
Luiz Henrique,,Attacking Midfield
Matheus Henrique,,Central Midfield
Rico Henry,,Left-Back
Thomas Henry,,Centre-Forward
Christophe Hérelle,,Centre-Back
Mario Hermoso,,Centre-Back
Javi Hernández,,Left-Back
Aridane Hernández,,Centre-Back
Lucas Hernández,,Centre-Back
Luis Hernández,,Centre-Back
Mario Hernández,,Right-Back
Theo Hernández,,Left-Back
Jorge Herrando,,Centre-Back
Ander Herrera,,Central Midfield
Sergio Herrera,,Goalkeeper
Yangel Herrera,,Central Midfield
Patrick Herrmann,,Right Winger
Son Heung-min,,Left Winger
Aaron Hickey,,Left-Back
Isak Hien,,Centre-Back
Omar El Hilali,,Right-Back
Piero Hincapié,,Centre-Back
Jack Hinshelwood,,"['Series([], Name: TmPos, dtype: object)']"
Morten Hjulmand,,Defensive Midfield
Adam Hložek,,Left Winger
Joseph Hodge,,Defensive Midfield
Nicolas Höfler,,Defensive Midfield
Jonas Hofmann,,Right Winger
Philipp Hofmann,,Centre-Forward
Rob Holding,,Centre-Back
Lucas Höler,,Centre-Forward
Mason Holgate,,Centre-Back
Emil Holm,,Right-Back
Noah Holm,,Centre-Forward
Gerrit Holtmann,,Left Winger
Martin Hongla,,Defensive Midfield
Franck Honorat,,Right Winger
Jannes Horn,,Left-Back
Cédric Hountondji,,Centre-Back
Ilyes Housni,,Centre-Forward
Lukáš Hrádecký,,Goalkeeper
Petko Hristov,,Centre-Back
Ajdin Hrustic,,Central Midfield
Timo Hübers,,Centre-Back
Callum Hudson-Odoi,,Right Winger
Will Hughes,,Central Midfield
Mats Hummels,,Centre-Back
Adrien Hunou,,Centre-Forward
Denis Huseinbasic,,Central Midfield
Omari Hutchinson,,Attacking Midfield
Elseid Hysaj,,Right-Back
Pierre Højbjerg,,Central Midfield
Rasmus Højlund,,Centre-Forward
Iago,,   Left-Back
Pablo Ibáñez,,Central Midfield
Roger Ibanez,,Centre-Back
Arijon Ibrahimović,,Attacking Midfield
Zlatan Ibrahimović,,Centre-Forward
Mounaim El Idrissy,,Centre-Forward
Antonio Iervolino,,"['Series([], Name: TmPos, dtype: object)']"
Iglesias,,Right-Back
Borja Iglesias,,Centre-Forward
Igor,,Centre-Back
Kelechi Iheanacho,,Centre-Forward
Jonathan Ikone,,Right Winger
Ivan Ilić,,Central Midfield
Rareş Ilie,,Left Winger
Samuel Iling-Junior,,Left Winger
Emirhan İlkhan,,Central Midfield
Asier Illarramendi,,Defensive Midfield
Ciro Immobile,,Centre-Forward
Danny Ings,,Centre-Forward
Marcus Ingvartsen,,Centre-Forward
Bonke Innocent,,Defensive Midfield
Alexander Isak,,Centre-Forward
Isco,,Attacking Midfield
Ismaily,,Left-Back
Ardian Ismajli,,Centre-Back
Ko Itakura,,Centre-Back
Hiroki Ito,,Centre-Back
Junya Ito,,Right Winger
Diego Iturralde,,"['Series([], Name: TmPos, dtype: object)']"
Andreas Ivan,,Left Winger
Mihailo Ivanović,,"['Series([], Name: TmPos, dtype: object)']"
Daniel Iversen,,Goalkeeper
Alex Iwobi,,Left Winger
Armando Izzo,,Centre-Back
Nicolas Jackson,,Right Winger
Lee Jae-sung,,Attacking Midfield
Paul Jaeckel,,Centre-Back
Mato Jajalo,,Defensive Midfield
Kristijan Jakić,,Defensive Midfield
Ismail Jakobs,,Left-Back
Marin Jakoliš,,Left Winger
Daniel James,,Right Winger
Reece James,,Right-Back
Vitaly Janelt,,Defensive Midfield
Saidy Janko,,Right-Back
Pontus Jansson,,Centre-Back
Tony Jantschke,,Centre-Back
Adnan Januzaj,,Right Winger
Léo Jardim,,Left-Back
Luis Javier Suárez,,Centre-Forward
Dany Jean,,Left WingBack
Julian Jeanvier,,Centre-Back
Jefferson,,Central Midfield
Fredrik Jensen,,Attacking Midfield
Mathias Jensen,,Central Midfield
Moritz Jenz,,Centre-Back
Jesé,,Left Winger
Gabriel Jesus,,Centre-Forward
Juan Jesus,,Centre-Back
Raúl Jiménez,,Centre-Forward
Joaquín,,Right Winger
Joelinton,,Attacking Midfield
Þórir Jóhann Helgason,,Central Midfield
Ben Johnson,,Right-Back
Brennan Johnson,,Second Striker
Sam Johnstone,,Goalkeeper
Paul Joly,,Right-Back
Curtis Jones,,Central Midfield
Frenkie de Jong,,Central Midfield
Joan Jordán,,Central Midfield
Jorginho,,Defensive Midfield
Josan,,Right Winger
Willian José,,Centre-Forward
Joselu,,Centre-Forward
Mateo Joseph,,Centre-Forward
Diogo Jota,,Left Winger
Stevan Jovetić,,Centre-Forward
Luka Jović,,Centre-Forward
Juanmi,,Left Winger
Juanpe,,Centre-Back
Jubal,,Centre-Back
Christopher Jullien,,Centre-Back
Anthony Jung,,Left-Back
Eli Junior Kroupi,,"['Series([], Name: TmPos, dtype: object)']"
Lago Junior,,Left Winger
Hamed Junior Traorè,,Attacking Midfield
Vinicius Júnior,,Left Winger
Josip Juranović,,Right-Back
James Justin,,Right-Back
Filip Jørgensen,,Goalkeeper
Mathias Jørgensen,, Centre-Back
Ozan Kabak,,Centre-Back
Issa Kaboré,,Right-Back
Abdoul Kader Bamba,,Right Winger
Pavel Kadeřábek,,Right-Back
Tino Kadewere,,Centre-Forward
Kaiky,,Centre-Back
Florian Kainz,,Left Winger
Gaël Kakuta,,Attacking Midfield
Sasa Kalajdzic,,Centre-Forward
Arnaud Kalimuendo,,Centre-Forward
Yayah Kallon,,Second Striker
Gedeon Kalulu,,Right-Back
Pierre Kalulu,,Centre-Back
Justin-Noël Kalumba,,Right Winger
Daichi Kamada,,Attacking Midfield
Waren Kamanzi,,Right-Back
Bingourou Kamara,,Goalkeeper
Boubacar Kamara,,Defensive Midfield
Jakub Kamiński,,Left Winger
Marcin Kamiński,,Centre-Back
Kevin Kampl,,Central Midfield
Nordine Kandil,,Attacking Midfield
Harry Kane,,Centre-Forward
Lee Kang-in,,Centre-Forward
Wilfried Kanga,,Attacking Midfield
N'Golo Kanté,,Defensive Midfield
Kenan Karaman,,Centre-Forward
Yann Karamoh,,Right Winger
Atakan Karazor,,Defensive Midfield
Ayman Kari,,Central Midfield
Jon Karrikaburu,,Centre-Forward
Rick Karsdorp,,Right-Back
Denso Kasius,,Right-Back
Thomas Kastanaras,,Centre-Forward
Grigoris Kastanos,,Central Midfield
Silas Katompa,,Right Winger
Moise Kean,,Centre-Forward
Michael Keane,,Centre-Back
Neeskens Kebano,,Left Winger
Kévin Keben Biakolo,,Centre-Back
Thilo Kehrer,,Centre-Back
Check Keita,,Centre-Back
Naby Keïta,,Central Midfield
Yannik Keitel,,Defensive Midfield
Caoimhín Kelleher,,Goalkeeper
Lloyd Kelly,,Centre-Back
Marc-Oliver Kempf,,Centre-Back
Kenedy,,Left WingBack
Jonjoe Kenny,,Right-Back
Franck Kessié,,Central Midfield
Saîf-Eddine Khaoui,,Attacking Midfield
Wahbi Khazri,,Centre-Forward
Rani Khedira,,Defensive Midfield
Anthony Khelifa,,Centre-Back
Kiké,,Centre-Forward
Luca Kilian,,Centre-Back
Max Kilman,,Centre-Back
Joshua Kimmich,,Defensive Midfield
Presnel Kimpembe,,Centre-Back
Jakub Kiwior,,Centre-Back
Simon Kjær,,Centre-Back
Pascal Klemens,,"['Series([], Name: TmPos, dtype: object)']"
Mateusz Klich,,Central Midfield
Lukas Klostermann,,Centre-Back
Justin Kluivert,,Left Winger
Ansgar Knauff,,Right Winger
Robin Knoche,,Centre-Back
Gregor Kobel,,Goalkeeper
Robin Koch,,Centre-Back
Samuel Koeberlé,,"['Series([], Name: TmPos, dtype: object)']"
Rudy Kohon,,Centre-Back
Dominik Kohr,,Central Midfield
Koke,,Central Midfield
Sead Kolašinac,,Left-Back
Luca Koleosho,,Left Winger
Randal Kolo Muani,,Centre-Forward
Timothée Kolodziejczak,,Centre-Back
Cheick Konaté,,Centre-Back
Ibrahima Konaté,,Centre-Back
Geoffrey Kondogbia,,Defensive Midfield
Ibrahima Koné,,Centre-Forward
Kouadio Koné,,Central Midfield
Youssouf Koné,,Left-Back
Ezri Konsa,,Centre-Back
Teun Koopmeiners,,Defensive Midfield
Odilon Kossonou,,Centre-Back
Filip Kostić,,Left WingBack
Christian Kouamé,,Centre-Forward
Rominigue Kouamé,,Central Midfield
Tomáš Koubek,,Goalkeeper
Kalidou Koulibaly,,Centre-Back
Jules Koundé,,Right-Back
Boubakar Kouyaté,,Centre-Back
Cheikhou Kouyaté,,Centre-Back
Mateo Kovačić,,Central Midfield
Viktor Kovalenko,,Attacking Midfield
Soichiro Kozuki,,Right Winger
Emil Krafth,,Right-Back
Alex Král,,Defensive Midfield
Andrej Kramarić,,Centre-Forward
Christoph Kramer,,Defensive Midfield
Tom Krauß,,Central Midfield
Julian Kristoffersen,,Centre-Forward
Raimonds Krollis,,Centre-Forward
Toni Kroos,,Central Midfield
Rade Krunić,,Central Midfield
Max Kruse,,Second Striker
Lukas Kübler,,Right-Back
Takefusa Kubo,,Right Winger
Dejan Kulusevski,,Right Winger
Sael Kumbedi,,Right-Back
Marash Kumbulla,,Centre-Back
Pierre Kunde,,Central Midfield
Alou Kuol,,Centre-Forward
Layvin Kurzawa,,Left-Back
Khvicha Kvaratskhelia,,Left Winger
Grejohn Kyei,,Centre-Forward
Daniel Kyereh,,Attacking Midfield
Giorgos Kyriakopoulos,,Left-Back
César de la Hoz,,Central Midfield
Luca de la Torre,,Central Midfield
Rémy Labeau Lascary,,Centre-Forward
Gaëtan Laborde,,Centre-Forward
Alexandre Lacazette,,Centre-Forward
Qazim Laçi,,Central Midfield
Maxence Lacroix,,Centre-Back
Alban Lafont,,Goalkeeper
Aïssa Laïdouni,,Central Midfield
Konrad Laimer,,Central Midfield
Stefan Lainer,,Right-Back
Kenny Lala,,Right-Back
Adam Lallana,,Attacking Midfield
Vassilis Lambropoulos,,Centre-Back
Érik Lamela,,Right Winger
Mohamed Lamine Bayo,,Centre-Forward
Sam Lammers,,Centre-Forward
Tariq Lamptey,,Right-Back
Manuel Lanzini,,Attacking Midfield
Aymeric Laporte,,Centre-Back
Julien Laporte,,Centre-Back
Cyle Larin,,Centre-Forward
Juan Larios,,Left-Back
Yasser Larouci,,Left-Back
Jordan Larsson,,Right Winger
Kevin Lasagna,,Centre-Forward
Jamaal Lascelles,,Centre-Back
Juanmi Latasa,,Centre-Forward
Toni Lato,,Left-Back
Danny Latza,,Central Midfield
Armand Lauriente,,Right Winger
Roméo Lavia,,Defensive Midfield
Lázaro,,Left Winger
Valentino Lazaro,,Right-Back
Marko Lazetić,,Centre-Forward
Darko Lazović,,Left WingBack
Manuel Lazzari,,Right-Back
Théo Le Bris,,"['Series([], Name: TmPos, dtype: object)']"
Julien Le Cardinal,,Right-Back
Jérémy Le Douaron,,Centre-Forward
Enzo Le Fée,,Attacking Midfield
Vincent Le Goff,,Left-Back
Maxime Le Marchand,,Centre-Back
Robin Le Normand,,Centre-Back
Rafael Leão,,Left Winger
Paolo Lebas,,Central Midfield
Jean-Louis Leca,,Goalkeeper
Benjamin Lecomte,,Goalkeeper
Jeremías Ledesma,,Goalkeeper
Pierre Lees-Melou,,Central Midfield
Diogo Leite,,Centre-Back
Maxim Leitsch,,Centre-Back
Florian Lejeune,,Centre-Back
Iñigo Lekue,,Right-Back
Thomas Lemar,,Attacking Midfield
Félix Lemaréchal,,Central Midfield
Dexter Lembikisa,,Left-Back
Mario Lemina,,Defensive Midfield
Tim Lemperle,,Centre-Forward
Clément Lenglet,,Centre-Back
Bernd Leno,,Goalkeeper
Christopher Lenz,,Left-Back
Donovan Léon,,Goalkeeper
Sergio León,,Centre-Forward
Johann Lepenant,,Defensive Midfield
Mehdi Léris,,Right Winger
Jefferson Lerma,,Defensive Midfield
Benjamin Leroy,,Goalkeeper
Léo Leroy,,Central Midfield
Alexandre Letellier,,Goalkeeper
Ruan Levine,,Right Winger
Robert Lewandowski,,Centre-Forward
Jamie Leweling,,Second Striker
Jamal Lewis,,Left-Back
Rico Lewis,,Right-Back
Keane Lewis-Potter,,Left Winger
Dimitri Liénard,,Central Midfield
Philipp Lienhart,,Centre-Back
Matthijs de Ligt,,Centre-Back
Dimitris Limnios,,Left Winger
Victor Lindelöf,,Centre-Back
Jesper Lindstrøm,,Attacking Midfield
Karol Linetty,,Central Midfield
Jesse Lingard,,Attacking Midfield
Pol Lirola,,Right-Back
Mateusz Lis,,Goalkeeper
Marcin Listkowski,,Attacking Midfield
Valentino Livramento,,Right-Back
Dejan Ljubicic,,Defensive Midfield
Javier Llabrés,,Left Winger
Diego Llorente,,Centre-Back
Marcos Llorente,,Central Midfield
Hugo Lloris,,Goalkeeper
Giovani Lo Celso,,Central Midfield
Stanislav Lobotka,,Defensive Midfield
Manuel Locatelli,,Defensive Midfield
Luka Lochoshvili,,Centre-Back
Bradley Locko,,Left-Back
Renan Lodi,,Left-Back
Ruben Loftus-Cheek,,Central Midfield
Sean Longstaff,,Central Midfield
Ademola Lookman,,Left Winger
Anthony Lopes,,Goalkeeper
Rony Lopes,,Right Winger
David López,,Centre-Back
Diego López,,Goalkeeper
Diego López,,Left Winger
Maxime Lopez,,Defensive Midfield
Pau López,,Goalkeeper
Unai López,,Central Midfield
Dion Lopy,,Defensive Midfield
Anthony Losilla,,Defensive Midfield
Jordan Lotomba,,Right-Back
Matteo Lovato,,Centre-Back
Dejan Lovren,,Centre-Back
Sandi Lovrić,,Central Midfield
Jamal Lowe,,Right Winger
Anthony Lozano,,Centre-Forward
Hirving Lozano,,Right Winger
Pol Lozano,,Central Midfield
Jean Lucas,,Central Midfield
Jhon Lucumí,,Centre-Back
José Luis Gayà,,Left-Back
José Luis Morales,,Centre-Forward
José Luis Palomino,,Centre-Back
Douglas Luiz,,Defensive Midfield
Romelu Lukaku,,Centre-Forward
Castello Lukeba,,Centre-Back
Dodi Lukebakio,,Right Winger
Saša Lukić,,Central Midfield
Andriy Lunin,,Goalkeeper
Andrey Lunyov,,Goalkeeper
Sebastiano Luperto,,Centre-Back
Lyanco,,Centre-Back
Charalambos Lykogiannis,,Left-Back
Youssouf M'Changama,,Attacking Midfield
Awer Mabil,,Left Winger
Alexis Mac Allister,,Attacking Midfield
Deiver Machado,,Left-Back
Darwin Machís,,Left Winger
James Maddison,,Attacking Midfield
Noni Madueke,,Right Winger
Pablo Maffeo,,Right-Back
Lisandro Magallán,,Centre-Back
Soungoutou Magassa,,Defensive Midfield
Giulio Maggiore,,Central Midfield
Giangiacomo Magnani,,Centre-Back
Hugo Magnetti,,Central Midfield
Yohann Magnin,,Defensive Midfield
Harry Maguire,,Centre-Back
Jon Magunacelaya,,Attacking Midfield
Riyad Mahrez,,Right Winger
Arne Maier,,Central Midfield
Mike Maignan,,Goalkeeper
Linton Maina,,Right Winger
Kobbie Mainoo,,Central Midfield
Ainsley Maitland-Niles,,Right WingBack
Jordan Majchrzak,,Centre-Forward
Lovro Majer,,Attacking Midfield
Jean-Victor Makengo,,Central Midfield
Béni Makouana,,Centre-Forward
Nemanja Maksimović,,Central Midfield
Tyrell Malacia,,Left-Back
Lorenzo Malagrida,,Left WingBack
Daniel Maldini,,Attacking Midfield
Youssef Maleh,,Central Midfield
Donyell Malen,,Centre-Forward
Ruslan Malinovskyi,,Attacking Midfield
Hugo Mallo,,Right-Back
Mickael Malsa,,Defensive Midfield
Giorgi Mamardashvili,,Goalkeeper
Hianga Mananga Mbock,,Central Midfield
Gianluca Mancini,,Centre-Back
Steve Mandanda,,Goalkeeper
Reinildo Mandava,,Left-Back
Aïssa Mandi,,Centre-Back
Rolando Mandragora,,Defensive Midfield
Sadio Mané,,Left Winger
Orel Mangala,,Central Midfield
Thomas Mangani,,Central Midfield
Vito Mannone,,Goalkeeper
Javier Manquillo,,Right-Back
Myziane Maolida,,Left Winger
Faitout Maouassa,,Left-Back
Sekou Mara,,Centre-Forward
Marcão,,Centre-Back
Solly March,,Left WingBack
Agustín Marchesín,,Goalkeeper
Federico Marchetti,,Goalkeeper
Vincent Marchetti,,Defensive Midfield
Riccardo Marchizza,,Left-Back
Gian Marco Ferrari,,Centre-Back
Emiliano Marcondes,,Attacking Midfield
Óscar de Marcos,,Right-Back
Alberto Marí,,Centre-Forward
José Mari,,Defensive Midfield
Pablo Marí,,Centre-Back
José María Giménez,,Centre-Back
Mariano,,Centre-Forward
Pablo Marín,,Attacking Midfield
Răzvan Marin,,Central Midfield
Diego Mariño,,Goalkeeper
Guillermo Maripán,,Centre-Back
Marlon,,Centre-Back
Omar Marmoush,,Left Winger
Marquinhos,,Right Winger
Marquinhos,,   Centre-Back
Luca Marrone,,Centre-Back
Eric Martel,,Defensive Midfield
